Time point,Value
0,0.657
1,0.662
2,0.667
3,0.671
4,0.674
5,0.677
6,0.678
7,0.68
8,0.68
9,0.681
10,0.681
11,0.681
12,0.68
13,0.671
14,0.66
15,0.647
16,0.637
17,0.629
18,0.624
19,0.623
20,0.623
21,0.623
22,0.622
23,0.621
24,0.618
25,0.613
26,0.606
27,0.595
28,0.582
29,0.565
30,0.545
31,0.528
32,0.501
33,0.475
34,0.442
35,0.411
36,0.379
37,0.346
38,0.313
39,0.273
40,0.24
41,0.214
42,0.183
43,0.154
44,0.128
45,0.104
46,0.083
47,0.065
48,0.049
49,0.035
50,0.026
51,0.017
52,0.01
53,0.005
54,0.002
55,0.0
56,0.0
57,0.0
