Time point,Value
0,-45.921
1,-45.493
2,-44.956
3,-44.574
4,-44.318
5,-44.083
6,-43.919
7,-43.801
8,-43.742
9,-43.721
10,-43.719
11,-43.72
12,-43.804
13,-44.641
14,-45.599
15,-46.845
16,-47.82
17,-48.556
18,-48.995
19,-49.11
20,-49.123
21,-49.123
22,-49.125
23,-49.138
24,-49.167
25,-49.209
26,-49.28
27,-49.38
28,-49.508
29,-49.667
30,-49.859
31,-50.018
32,-50.271
33,-50.515
34,-50.827
35,-51.116
36,-51.418
37,-51.73
38,-52.047
39,-52.416
40,-52.727
41,-52.979
42,-53.269
43,-53.541
44,-53.791
45,-54.017
46,-54.216
47,-54.387
48,-54.531
49,-54.668
50,-54.748
51,-54.836
52,-54.901
53,-54.946
54,-54.975
55,-54.991
56,-54.998
57,-55.0
