Time point,Value
0,56.989
1,57.531
2,58.212
3,58.697
4,59.022
5,59.319
6,59.527
7,59.677
8,59.752
9,59.778
10,59.781
11,59.779
12,59.673
13,58.611
14,57.396
15,55.817
16,54.58
17,53.646
18,53.09
19,52.944
20,52.928
21,52.928
22,52.901
23,52.718
24,52.321
25,51.748
26,50.762
27,49.395
28,47.627
29,45.438
30,42.796
31,40.609
32,37.124
33,33.766
34,29.457
35,25.485
36,21.321
37,17.027
38,12.668
39,7.583
40,3.297
41,-0.175
42,-4.169
43,-7.912
44,-11.355
45,-14.462
46,-17.204
47,-19.556
48,-21.539
49,-23.429
50,-24.524
51,-25.742
52,-26.636
53,-27.256
54,-27.652
55,-27.874
56,-27.974
57,-28.0
