Time point,Value
0,16.016
1,16.016
2,16.016
3,16.016
4,16.016
5,16.016
6,16.016
7,16.016
8,16.016
9,16.016
10,16.016
11,16.016
12,16.016
13,16.016
14,16.016
15,16.016
16,16.016
17,16.016
18,16.016
19,16.016
20,16.016
21,16.016
22,16.011
23,15.974
24,15.896
25,15.783
26,15.587
27,15.317
28,14.967
29,14.534
30,14.011
31,13.578
32,12.888
33,12.224
34,11.371
35,10.585
36,9.761
37,8.911
38,8.048
39,7.042
40,6.194
41,5.507
42,4.716
43,3.975
44,3.294
45,2.679
46,2.137
47,1.671
48,1.279
49,0.904
50,0.687
51,0.446
52,0.27
53,0.147
54,0.068
55,0.024
56,0.005
57,0.0
