Iteration,Energy consumption
1,1.2470044305555557
2,1.4921225833333334
3,1.1825794027777778
4,1.0597945277777778
5,0.9245487916666668
6,1.1747937916666666
7,1.100173388888889
8,1.4925938611111111
9,1.10915325
10,0.8401971111111113
11,1.3012704861111113
12,1.3010006527777778
13,1.3750351944444446
14,1.0439360694444446
15,0.9050327500000002
16,0.8884683055555556
17,1.0103229166666667
18,0.9032003611111112
19,1.0416610694444446
20,0.9186819861111112
21,1.1302297777777777
22,0.8630287083333334
23,1.1117271527777777
24,1.004206888888889
25,1.3216595833333333
26,1.414078402777778
27,1.206420388888889
28,1.1629897222222223
29,0.9505845972222222
30,0.8664580138888891
31,0.8745424722222221
32,0.8695142777777779
33,0.8679620833333334
34,0.8631841666666666
35,0.9755986666666666
36,0.8854544583333334
37,0.8340833472222223
38,0.8564587083333335
39,0.7471132638888889
40,0.7196974305555556
41,0.8708614305555556
42,0.8035035138888891
43,0.8168848472222222
44,0.7694710555555556
45,0.8151527222222222
46,0.836472763888889
47,0.7724167361111112
48,0.8540007222222223
49,0.8101701388888888
50,0.7902807361111112
51,0.8109793611111111
52,0.8095460694444445
53,0.7992809722222223
54,0.7863956527777777
55,0.8409492083333334
56,0.7883199444444445
57,0.7831753888888888
58,0.830377986111111
59,0.8063171666666666
60,0.8456372361111112
61,0.8533290833333335
62,0.8016773333333335
63,0.7967973333333334
64,0.794745625
65,0.8171567500000002
66,0.8160545138888889
67,0.882747625
68,0.8193652222222223
69,0.8250513194444445
70,0.8274051805555556
71,0.8045802361111112
72,0.8277389722222223
73,0.7855821805555556
74,0.647207875
75,0.8210399166666666
76,0.8783808888888891
77,0.8596343472222224
78,0.9250521666666666
79,0.8745250138888889
80,0.8327973055555556
81,0.9109111944444446
82,0.8185563333333333
83,0.7970359722222223
84,0.8471638750000001
85,0.763600875
86,0.8479440972222224
87,0.7834208333333335
88,0.640280861111111
89,0.8826874861111113
90,0.784797638888889
91,0.811980152777778
92,0.7466117916666667
93,0.848020388888889
94,0.8160288472222222
95,0.8773518472222223
96,0.8664936944444445
97,0.8651540972222223
98,0.8883372222222222
99,0.8868720277777778
100,0.8569188472222221
101,0.8217502916666668
102,0.8887680277777777
103,0.820743375
104,0.8781883888888888
105,0.841372263888889
106,0.9031141666666668
