Time point,Value
0,-43.365
1,-43.793
2,-44.33
3,-44.712
4,-44.969
5,-45.203
6,-45.367
7,-45.485
8,-45.544
9,-45.565
10,-45.567
11,-45.566
12,-45.482
13,-44.645
14,-43.687
15,-42.441
16,-41.466
17,-40.73
18,-40.291
19,-40.176
20,-40.163
21,-40.163
22,-40.161
23,-40.15
24,-40.124
25,-40.088
26,-40.025
27,-39.938
28,-39.825
29,-39.685
30,-39.517
31,-39.377
32,-39.155
33,-38.94
34,-38.666
35,-38.412
36,-38.147
37,-37.873
38,-37.595
39,-37.27
40,-36.997
41,-36.775
42,-36.52
43,-36.282
44,-36.062
45,-35.864
46,-35.689
47,-35.539
48,-35.412
49,-35.292
50,-35.222
51,-35.144
52,-35.087
53,-35.047
54,-35.022
55,-35.008
56,-35.002
57,-35.0
